index,coref_content,industry
0,"Norway has a lot of electric cars, so many that it can make anyone driving a new vehicle with an internal combustion engine look like a Luddite.",automotiveEngineering
0,"Mercedes-Benz brought us there to experience the EQC, and possibly to normalize the EQC in a sea of EVs that makes California look like a land of late adopters.",automotiveEngineering
0,"Outside Oslo, where cars were larger and more upscale than in other parts of Europe, and Tesla vehicles (S and X) are a more common sight than around Los Angeles or the Bay Area, the EQC fit right in.",automotiveEngineering
0,"DON'T MISS: Mercedes-Benz EQC Edition 1886 electric SUV kicks off a new era
After a couple of rain-soaked days driving the EQC there last week, we can say that it will be a great addition in the U.S. when it arrives sometime in 2020.",automotiveEngineering
0,"At about 187 inches long, the EQC400 4Matic crossover splices into the American mid-sizers.",automotiveEngineering
1,Ford says shifter cables can snap off and render the gear selector broken or useless on 2013–2016 Ford Fusion sedans.,automotiveEngineering
1,The automaker's latest recall expands a July 2018 recall of about a half-million cars.,automotiveEngineering
1,The 2019 Ranger also has a similar transmission problem under a separate new recall.,automotiveEngineering
1,"Ford is recalling 259,182 additional Fusion sedans in the United States for faulty shifter cables that can cause rollaways, Ford said Wednesday.",automotiveEngineering
1,"In July, Ford recalled more than a half-million Fusion and Escape models for these shifter cables, which can break off the transmission due to a bad bushing at the connection point.",automotiveEngineering
1,"A supplier had added lubricant to these bushings, which ultimately led A supplier to fail on 2013–2016 Fusion and 2013–2014 Escape models, according to a recall filing with the National Highway Traffic Safety Administration (NHTSA).",automotiveEngineering
1,"Several dangerous things can happen, such as the gear selector indicating the wrong gear or a driver switching off the vehicle in park and exiting with the key when the transmission is actually in neutral.",automotiveEngineering
2,"Enlarge ImageThe C-Class is still mighty good, but Enlarge ImageThe C-Class design and tech is now a generation behind.",automotiveEngineering
2,"Even as gas prices fluctuate, buyers continue to favor SUVs and crossovers in ever-greater numbers, pushing sedans by the wayside.",automotiveEngineering
2,It's such a strong push that It might cause at least one automaker to move It sedan manufacturing outside US borders to make room for more utility vehicles.,automotiveEngineering
2,"Despite its position as its best-selling sedan in the US, Mercedes-Benz might move C-Class production out of Mercedes-Benz Alabama plant, Automotive News reports, citing sources ""familiar with the situation.""",automotiveEngineering
2,Mercedes-Benz declined to comment to AN.,automotiveEngineering
2,"The C-Class came here in 2014, a five-year process that, according to the report, was met with much pearl-clutching from German unions.",automotiveEngineering
2,"The reason for its departure is simple -- even though its still sells well, other cars sell better.",automotiveEngineering
3,"The 2019 Cadillac CTS-VCNBC | Mack HoganCadillac, the luxury arm of auto giant General Motors, appeared to not anticipate the insatiable hunger consumers have for SUVs and crossovers.",automotiveEngineering
3,"While Cadillac tried to out-German BMW and Mercedes with a lineup of sports sedans with impressive driving dynamics and great prices, the Germans padded the Germans lineups with seven crossovers each.",automotiveEngineering
3,"Cadillac, until 2018, offered only one.",automotiveEngineering
3,The 2019 Cadillac CTS-VCNBC | Mack HoganThe company is now retreating back to Detroit after a few years in New York.,automotiveEngineering
3,They've announced the XT4 and XT6 crossovers to compliment the XT5 and Escalade and are consolidating the CTS and ATS into the CT5 sedan.,automotiveEngineering
3,"This, the fire-breathing, 200-mile-per-hour CTS-V, is a testament to how well Cadillac accomplished Cadillac mission of building amazing sports sedans.",automotiveEngineering
3,"Unfortunately, the market wanted something else.",automotiveEngineering
3,"The 2019 Cadillac CTS-VCNBC | Mack HoganThe good ""Parts sharing"" is almost a dirty word in the industry.",automotiveEngineering
4,"featuring 30-inch wheels, a dettatched cabin, and screenless dash, citroen‘s new 19_19 concept is unusual to say the least.",automotiveEngineering
4,"revealed as part of the company’s centenary celebrations, the car showcases the company’s future interiors technology.images courtesy of citroen  inspired by aviation, citroen took citroen’s re-2 helicopter as a reference, a model they developed in the seventies but declined to put into series production.",automotiveEngineering
