"industry","index","sentence","phrase","category"
"automotiveEngineering","0","0","Norway","NP"
"automotiveEngineering","0","0","has","VP"
"automotiveEngineering","0","0","a lot","NP"
"automotiveEngineering","0","0","of","PP"
"automotiveEngineering","0","0","electric cars,","NP"
"automotiveEngineering","0","0","so many","NP"
"automotiveEngineering","0","0","Norway","NP"
"automotiveEngineering","0","0","can make","VP"
"automotiveEngineering","0","0","anyone","NP"
"automotiveEngineering","0","0","driving","VP"
"automotiveEngineering","0","0","a new vehicle","NP"
"automotiveEngineering","0","0","with","PP"
"automotiveEngineering","0","0","an internal combustion engine","NP"
"automotiveEngineering","0","0","look","VP"
"automotiveEngineering","0","0","like","PP"
"automotiveEngineering","0","0","a Luddite.","NP"
"automotiveEngineering","0","1","Mercedes-Benz","NP"
"automotiveEngineering","0","1","brought","VP"
"automotiveEngineering","0","1","us","NP"
"automotiveEngineering","0","1","to experience","VP"
"automotiveEngineering","0","1","the EQC,","NP"
"automotiveEngineering","0","1","and","CC"
"automotiveEngineering","0","1","to normalize","VP"
"automotiveEngineering","0","1","the EQC","NP"
"automotiveEngineering","0","1","in","PP"
"automotiveEngineering","0","1","a sea","NP"
"automotiveEngineering","0","1","of","PP"
"automotiveEngineering","0","1","EVs","NP"
"automotiveEngineering","0","1","that","NP"
"automotiveEngineering","0","1","makes","VP"
"automotiveEngineering","0","1","California","NP"
"automotiveEngineering","0","1","look","VP"
"automotiveEngineering","0","1","like","PP"
"automotiveEngineering","0","1","a land","NP"
"automotiveEngineering","0","1","of","PP"
"automotiveEngineering","0","1","late adopters.","NP"
"automotiveEngineering","0","2","Outside","PP"
"automotiveEngineering","0","2","Oslo,","NP"
"automotiveEngineering","0","2","cars","NP"
"automotiveEngineering","0","2","were","VP"
"automotiveEngineering","0","2","and","CC"
"automotiveEngineering","0","2","than","PP"
"automotiveEngineering","0","2","in","PP"
"automotiveEngineering","0","2","other parts","NP"
"automotiveEngineering","0","2","of","PP"
"automotiveEngineering","0","2","Europe,","NP"
"automotiveEngineering","0","2","and","CC"
"automotiveEngineering","0","2","Tesla vehicles","NP"
"automotiveEngineering","0","2","(S","CC"
"automotiveEngineering","0","2","and","CC"
"automotiveEngineering","0","2","X)","NP"
"automotiveEngineering","0","2","are","VP"
"automotiveEngineering","0","2","a more common sight","NP"
"automotiveEngineering","0","2","than","PP"
"automotiveEngineering","0","2","around","PP"
"automotiveEngineering","0","2","Los Angeles","NP"
"automotiveEngineering","0","2","or","CC"
"automotiveEngineering","0","2","the Bay Area,","NP"
"automotiveEngineering","0","2","the EQC","NP"
"automotiveEngineering","0","2","fit","VP"
"automotiveEngineering","0","3","DON'T MISS: Mercedes-Benz EQC Edition 1886 electric SUV","NP"
"automotiveEngineering","0","3","kicks","VP"
"automotiveEngineering","0","3","a new era After","NP"
"automotiveEngineering","0","3","a couple","NP"
"automotiveEngineering","0","3","of","PP"
"automotiveEngineering","0","3","rain-soaked days","NP"
"automotiveEngineering","0","3","driving","VP"
"automotiveEngineering","0","3","the EQC","NP"
"automotiveEngineering","0","3","last week,","NP"
"automotiveEngineering","0","3","we","NP"
"automotiveEngineering","0","3","can say","VP"
"automotiveEngineering","0","3","the EQC","NP"
"automotiveEngineering","0","3","will be","VP"
"automotiveEngineering","0","3","a great addition","NP"
"automotiveEngineering","0","3","in","PP"
"automotiveEngineering","0","3","the U.S.","NP"
"automotiveEngineering","0","3","the EQC","NP"
"automotiveEngineering","0","3","arrives","VP"
"automotiveEngineering","0","3","in","PP"
"automotiveEngineering","0","3","2020.","NP"
"automotiveEngineering","0","4","At","PP"
"automotiveEngineering","0","4","about 187 inches","NP"
"automotiveEngineering","0","4","long,","CC"
"automotiveEngineering","0","4","the EQC400 4Matic crossover","NP"
"automotiveEngineering","0","4","splices","VP"
"automotiveEngineering","0","4","into","PP"
"automotiveEngineering","0","4","the American mid-sizers.","NP"
"automotiveEngineering","1","0","Ford","NP"
"automotiveEngineering","1","0","says","VP"
"automotiveEngineering","1","0","shifter cables","NP"
"automotiveEngineering","1","0","can snap","VP"
"automotiveEngineering","1","0","and","CC"
"automotiveEngineering","1","0","render","VP"
"automotiveEngineering","1","0","the gear selector","NP"
"automotiveEngineering","1","0","on","PP"
"automotiveEngineering","1","0","2013–2016 Ford Fusion sedans.","NP"
"automotiveEngineering","1","1","2013–2016 Ford Fusion sedans","NP"
"automotiveEngineering","1","1","expands","VP"
"automotiveEngineering","1","1","The 2019 Ranger.","NP"
"automotiveEngineering","1","2","The 2019","NP"
"automotiveEngineering","1","2","The 2019 Ranger","NP"
"automotiveEngineering","1","2","has","VP"
"automotiveEngineering","1","2","a similar transmission problem","NP"
"automotiveEngineering","1","2","under","PP"
"automotiveEngineering","1","2","a separate new recall.","NP"
"automotiveEngineering","1","3","Ford","NP"
"automotiveEngineering","1","3","is recalling","VP"
"automotiveEngineering","1","3","259,182 additional Fusion sedans","NP"
"automotiveEngineering","1","3","in","PP"
"automotiveEngineering","1","3","the United States","NP"
"automotiveEngineering","1","3","for","PP"
"automotiveEngineering","1","3","faulty shifter cables","NP"
"automotiveEngineering","1","3","that","NP"
"automotiveEngineering","1","3","can cause","VP"
"automotiveEngineering","1","3","rollaways,","NP"
"automotiveEngineering","1","3","The automaker","NP"
"automotiveEngineering","1","3","said","VP"
"automotiveEngineering","1","3","Wednesday. <B-NP>","NP"
"automotiveEngineering","1","4","In","PP"
"automotiveEngineering","1","4","July 2018, Ford","NP"
"automotiveEngineering","1","4","recalled","VP"
"automotiveEngineering","1","4","more than a half-million Fusion and Escape models","NP"
"automotiveEngineering","1","4","for","PP"
"automotiveEngineering","1","4","these shifter cables,","NP"
